JobTitle,JobPostingURL,Locations,CompanyName,CompanyTagline,CompanyFounded,EmployeeCount,AboutCompany,Skills,Job ID
Architecture Verification Engineer,https://www.instahyre.com/job-329487-architecture-verification-engineer-at-arm-bangalore/,Bangalore,Arm,Architecting a Smarter World,1990.0,1000,"Arm Holdings is a British multinational semiconductor and software design company. Their device architecture is used in smartphones to supercomputers, in medical instruments to agricultural sensors, and in base stations to servers.","C++, UVM, VLSI Design, C, Unix",329487
Java Engineer,https://www.instahyre.com/job-329070-java-engineer-at-adyen-bangalore/,Bangalore,Adyen,The platform to help a business grow,2006.0,1000,"Adyen is the fintech platform that provides payment capabilities, data-driven insights, and financial products to help businesses protect revenue, provide customer-friendly authentication, and control finances. ","Java, Data Structures, REST Assured, Kafka, Microservices",329070
Content Writer,https://www.instahyre.com/job-222795-content-writer-at-optiq-bangalore/,Bangalore,OptIQ.AI,Cloud automation platform for developers,2021.0,1,"OptIQ is an AI and cloud specialized, software development organization that helps developers manage operations and security while creating a secure and compliant infrastructure stack for enterprises. ","Content Writing, Digital Marketing, Content Marketing, SEO, SEM",222795
Data Engineer II,https://www.instahyre.com/job-311469-data-engineer-ii-at-amazon-entertainment-bangalore/,Bangalore,Amazon Entertainment,Amazon's digital entertainment products,1994.0,1000,Amazon Entertainment brings bold and innovative series and films from top-tier creators and self-produced content to customers in over 200 countries through its Prime Video platform. ,"Big Data, ETL, SQL",311469
C++ Developer,https://www.instahyre.com/job-323479-c-developer-at-nexthink-bangalore/,Bangalore,Nexthink,Human-centric IT,2004.0,500,"Nexthink is a software company known for its digital employee experience management software. It offers features like real-time analytics, instant remediation, automation, and employee feedback, etc. ","C++, Python, Quality Assurance, Networking, Linux",323479
Digital Ad Sales Executive,https://www.instahyre.com/job-329890-digital-ad-sales-executive-at-parth-gurgaon/,Gurgaon,Parth,Manifesting a good blend of tech and design,2016.0,50,"Parth is an innovative technology company that builds products with a blend of cutting-edge technologies and design, their portfolio includes Oncricket, CreX, and Cricket Fantasy with total of 1mn+ downloads. ","Business Development, Direct Sales, Sales",329890
Sr. Backend Engineer,https://www.instahyre.com/job-330008-sr-backend-engineer-at-spectatr-gurgaon/,Gurgaon,Spectatr,Stay ahead of the game with Spectatr,2020.0,10,Spectatr is a software company pioneering AI-driven sponsor analytics and virtual advertising solutions for sports industries to enhance audience engagement by integrating live streaming with interactive elements. ,"Node.js, Golang",330008
Java Backend Developer,https://www.instahyre.com/job-328903-java-backend-developer-at-akshaya-india-work-from-home/,Work From Home,Akshaya India,Leading Travel Agents | Tour Operators in Chennai,1996.0,10,"Akshaya India is a Tour Operator & Travel agency based in Chennai and Bangalore. It is involved in organising Package Tours and travel activities to Corporates, FIT, Families, and Students.","Java, Azure, Microservices, Spring Boot",328903
Application Developer,https://www.instahyre.com/job-242518-application-developer-at-indihood-bangalore/,Bangalore,Indihood,In community we trust,2016.0,10,"Currently in stealth mode, Indihood is building a high-tech platform for crowdsourcing information. Founder has run Google India's product team. Founding engineers are also from top companies like Google. ","Data Modelling, Database Development, JavaScript, Node.js, React.js, TypeScript, jQuery",242518
Head of Risk Portfolio Analytics,https://www.instahyre.com/job-329719-head-of-risk-portfolio-analytics-at-kredivo-group-bangalore/,Bangalore,Kredivo Group,Indonesia's Largest And Fastest Growing Digital Credit Card,2015.0,50,"Kredivo Group is a financial services firm that leverages deep data analytics across users' digital footprint to automate credit risk scoring. It specializes in fintech, e-commerce, digital payment, etc. ","Credit Risk Management, Portfolio Management",329719
