JobTitle,JobPostingURL,Locations,CompanyName,CompanyTagline,CompanyFounded,EmployeeCount,AboutCompany,Job ID,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8,Skill9,Skill10
Engineering Manager,https://www.instahyre.com/job-325329-engineering-manager-at-ivy-comptech-hyderabad/,Hyderabad,Ivy Comptech,Gaming Software | Transaction Processing | Workflow Management | Games Design,2002.0,500,"IVY Comptech is a Computer Software company that engages in providing online and retail gaming in regulated markets. It owns brands like Bwin, Ladbrokes, Gala Coral, Partypoker, FoxyBingo, Sportingbet, etc.",325329,Java,Kafka,NoSQL,Node.js,Python,RabbitMQ,Redis,SQL,Spring,
IT Recruiter and Office Administrator,https://www.instahyre.com/job-324299-it-recruiter-and-office-administrator-at-auxia-bangalore/,Bangalore,Auxia,The composable AI platform for modern growth teams,2022.0,10,"Auxia is a composable, AI-based growth platform reinventing how companies activate, engage, monetize, and retain their customers by offering various integration, marketing, and reporting tools. ",324299,Campus Recruitment,IT Recruitment,Recruitment,,,,,,,
Staff Software Engineer,https://www.instahyre.com/job-322620-staff-software-engineer-at-narvar-bangalore/,Bangalore,Narvar,Simplify the everyday lives of consumers,2012.0,200,"Narvar helps retailers champion their customers at every step of the journey specializing in Pre-purchase delivery prediction, branded package tracking, seamless returns and exchanges, in-store experiences, etc. ",322620,Golang,Java,J2EE,Spring,,,,,,
Staff Software Engineer - Ecommerce,https://www.instahyre.com/job-328349-staff-software-engineer-ecommerce-at-crunchyroll-hyderabad/,Hyderabad,Crunchyroll,Bringing the latest and greatest anime at speed,2006.0,1000,"Crunchyroll is a subscription-based anime and manga streaming platform with access to 1,000+ titles and 30,000 episodes of anime across 15 platforms including various gaming consoles, operating 12 offices globally. ",328349,Algorithms,Bootstrap,Data Structures,Node.js,React.js,SFCC,,,,
Administrative and Data Analyst - Solam01W4,https://www.instahyre.com/job-329186-administrative-and-data-analyst-solam01w4-at-3m-bangalore/,Bangalore,3M,"Science, applied to life",1902.0,1000,"3M is a Fortune 500 ranked diversified technology company operating in 70+ countries and produces over 60,000 products under several brands and industries such as FMCG, healthcare, safety, automotive, etc. ",329186,Workday,HR Operations,HR Analytics,Customer Interaction,Workday HCM,,,,,
DevOps Engineer (AWS),https://www.instahyre.com/job-294607-devops-engineer-aws-at-epam-systems-bangalore-hyderabad-pune/,"Bangalore,Hyderabad,Pune",EPAM Systems,Software Product Development Services,1993.0,1000,"US based EPAM Systems is a leading global product development and digital platform engineering services company. With a presence around the world, it has ranked #12 in FORBES 25 Fastest Growing Public Tech Companies.",294607,AWS,Ansible,Docker,Jenkins,Kubernetes,Linux,Python,Shell Scripting,Terraform,
Senior Software Engineer,https://www.instahyre.com/job-327245-senior-software-engineer-at-cisco-bangalore/,Bangalore,Cisco,Bridge to possible,1984.0,1000,"Cisco is the worldwide leader in IT and networking, it develops, manufactures, and sells networking hardware, software, telecommunications equipment, and other high-technology services and products. ",327245,C++,Linux,,,,,,,,
Frontend Developer,https://www.instahyre.com/job-330132-frontend-developer-at-inara-chennai/,Chennai,INARA,A world where every child has agency to create a dignified life,2015.0,50,INARA is a global NPO that seeks to improve the lives of trauma-impacted children by providing medical and mental health care through trained professionals along with financial support for recovery. ,330132,React.js,Node.js,Algorithms,Redux,,,,,,
Sales & Business Development Associate,https://www.instahyre.com/job-330058-sales-business-development-associate-at-thrillophilia-3-jaipur/,Jaipur,Thrillophilia,Changing how the world experiences the world,2011.0,500,"Thrillophilia is an online platform for discovering and booking travel experiences that offers 24,000+ products and services ranging from adventures, sightseeing tours, offbeat honeymoon options, and more. ",330058,Business Development,Sales,Customer Interaction,CRM,,,,,,
Senior Software Engineer,https://www.instahyre.com/job-329957-senior-software-engineer-at-roku-bangalore/,Bangalore,Roku,#1 TV streaming platform in the US,2002.0,1000,Roku operates in the media streaming and TV entertainment ecosystem and offers a wide range of software and hardware products that make content delivery across 80 million US homes seamless. ,329957,Machine Learning,TensorFlow,Python,Spark,Java,,,,,
